FullName,LaunchDate,ShortName,Base,MPA,SFP,QSFP,10GBASET,CFP,InHouseAsic,CommercialAsic,CPUType,Prompt,PSUNumber,SSDEUSB,ProductNumber,MUX,Retimer,Memory,NIC,Slot,BootImage,EndOfLife
SARAJEVO,01/01/2016,SARA,Y,N,NA,32,NA,NA,DONNER x 1,TD2 x 1,UCS-FI-6332,SRJV,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
SEOUL,01/01/2016,SEOUL,Y,N,48,6,NA,NA,SUGARBOWLx1,NA,N9K-C93180YC-EX,SEOUL,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
SHUGGA,01/01/2016,SHUG,Y,N,NA,6,48,NA,Homewood x1,NA,CHIMAY,SHUG,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
SOCHI,01/01/2016,SOCHI,Y,N,NA,NA,48,NA,NA,TD2 x 1,N9K-C9396TX,SOCH,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
SQUAWVALLEY,01/01/2016,SVAL,Y,N,NA,6,96,NA,DONNER x 1,TD2 x 1,N9K-C93120TX,SVAL,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
STOCKHOLM,01/01/2016,STHM,Y,Y,96,8 x 40 G,NA,NA,NA,TD2 x 1,N9K-C31128PQ,STCK,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
SUMPIN,01/01/2016,SMPN,Y,N,48+1,6,NA,NA,Homewoodx1,NA,CHIMAY-U,SMPN,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
Scrimshaw,05/19/2017,SCSW,Y,N,NA,36x100GB,1,NA,Heavenly,NA,PINEDROPS,SCSW,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
Sculpin,10/30/2018,SCLP,Y,N,NA,16x400G,NA,NA,Wolfridge,NA,PLINY_BD,SCLP,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
Seymour,01/01/2016,SEYM,N/A,N/A,N/A,36,N/A,N/A,N/A,TD2 x 3,N/A,SEYM,N/A,N/A,N9K-X9636PQ,N,N,N/A,N/A,N/A,diag-lc-arm,N/A
ShadowPuppet,06/29/2018,SPUP,Y,N,2,64x100GB,NA,NA,NA,Tofino,N/A,SPUP,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
SilverCreek,01/01/2016,SVCK,N/A,N/A,N/A,N/A,N/A,N/A,SUGARBOWLx2,N/A,N/A,SVCK,N/A,N/A,N9K-X97160YC-EX,N,N,N/A,N/A,N/A,diag-lc-atom,N/A
Southlake,06/30/2017,SLKE,Y,N,48,18x100GB,2,NA,Heavenly,NA,PINEDROP-SL,SLKE,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
St. MORITZ,01/01/2016,SMTZ,Y,N,NA,36,NA,NA,LACROSS x 1,NA,N9K-C9236C,SMTZ,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
Sunridge,01/01/2016,SUNR,N/A,N/A,N/A,32,N/A,N/A,N/A,TD2 x 2,N/A,SUNR,N/A,N/A,N9K-X9432PQ,N,N,N/A,N/A,N/A,diag-lc-arm,N/A
TURIN,01/01/2016,TURIN,Y,N,NA,6,48,1,SUGARBOWLx1,NA,N9K-C93108TC-EX,TURIN,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
Tacoma,01/01/2016,TCMA,N/A,N/A,N/A,100x32,N/A,N/A,SUGARBOWL x 4,N/A,N/A,TCMA,N/A,N/A,N9K-9732C-EX,N,N,N/A,N/A,N/A,diag-lc-atom,N/A
Tetley,02/23/2017,TTLY,Y,N,2,64x100GB,NA,NA,NA,Tomahawk2,TYSKEI,TTLY,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
Utopias,07/29/2018,UTPS,Y,N,2,32,NA,NA,NA,Teralynx,N/A,UTPS,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VIENNA,01/01/2016,VINA,Y,N,48,6,NA,NA,Homewood x 1,NA,CHIMAY-U,VINA,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
WestLake,01/01/2016,WLKE,Y,N,48,18,NA,NA,LACROSS x,NA,CHIMAY_WL,WLKE,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
Whistler,01/01/2016,WHSL,N/A,N/A,N/A,18,N/A,N/A,ALPINE,N/A,N/A,WHSL,N/A,N/A,N9K-X9736PQ,N,Y,N/A,N/A,N/A,diag-lc-arm,N/A
Zion,01/01/2016,ZION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Broadwell-DE D-1500 processor, 4 cores, 2.4GHz",ZION,N/A,N/A,N/A,N/A,N/A,DDR4 16G/32G,Intel I350,N/A,diag-tor2-x86_64,N/A
